Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,VS73MI02,SH63MI24
2618.901,0.303557067,0.265386967,0.351920075,0.188078833,0.316430367,0.1805707,0.846285633,-0.03951426,0.407725567,0.12729965,0.033332213,0.3418647,0.35804565,0.16668365,0.06914986,0.2989434,0.328066133,0.127849867,0.007942087,0.316688733,0.091881885,0.209946867,0.20817157,0.2969822,0.25058145,0.288858067,0.3843702,0.206779333,0.3438767,0.3085724,0.282853167,0.293652111,0.400690433,0.2751955,0.304729,0.273855867,0.336759167,0.272713733,0.134618867,0.36348675,0.273165,0.330009325,0.148645
2620.829,0.304249478,0.266027,0.353601875,0.1885531,0.317676433,0.1810069,0.849249033,-0.038884187,0.4090057,0.12796505,0.034493937,0.343113667,0.3590372,0.16747155,0.06933552,0.2998937,0.329131333,0.128132733,0.008514653,0.3181271,0.09184265,0.210770667,0.208963718,0.298305967,0.25145625,0.289768067,0.385537545,0.207779081,0.34536575,0.30958005,0.2839006,0.294692844,0.401980167,0.2758942,0.3056008,0.274392967,0.337394833,0.273775433,0.135140567,0.3649999,0.274118167,0.330676075,0.1494782
2622.758,0.304420356,0.266627267,0.355283275,0.1890498,0.318918833,0.181498175,0.8522169,-0.03822989,0.410199133,0.128659475,0.035700983,0.344379233,0.36001635,0.1682532,0.069548795,0.3010455,0.330258033,0.128427433,0.009097753,0.3195903,0.09178251,0.211610767,0.209563366,0.299608167,0.25250545,0.290637133,0.38672085,0.208770867,0.3468923,0.31065435,0.284929367,0.295287667,0.4032896,0.27645775,0.306443533,0.274947167,0.338022833,0.274790267,0.135666067,0.366499,0.275069233,0.331379525,0.150357233
2624.687,0.3050522,0.267162433,0.35695045,0.189555533,0.3201535,0.1820241,0.8552205,-0.037600397,0.411386867,0.129367075,0.036887283,0.345599933,0.36107135,0.16902225,0.069760105,0.302311533,0.331457833,0.128731767,0.009698177,0.321075367,0.09175984,0.212486067,0.209994741,0.300885167,0.2536311,0.291423133,0.38802025,0.209729967,0.34842105,0.31176175,0.2859484,0.296186067,0.404584133,0.2770076,0.307249733,0.275517267,0.338623967,0.275790267,0.136197467,0.3679638,0.276086333,0.3321081,0.151150667
2626.615,0.305763178,0.2677202,0.358611875,0.190072567,0.321337067,0.18253565,0.858158467,-0.036949843,0.4125746,0.130102125,0.038120727,0.3467558,0.36215605,0.1698161,0.06991683,0.303779133,0.332731,0.129033033,0.010308253,0.322554233,0.0917437,0.213386533,0.210761009,0.302140633,0.2548231,0.292188133,0.3893237,0.210633,0.34998085,0.3127056,0.286969833,0.297323989,0.405818367,0.27761555,0.3080501,0.2760344,0.339236767,0.276778167,0.1367292,0.3693546,0.2771286,0.33283145,0.151918733
2628.543,0.306643233,0.2683912,0.360269625,0.190606167,0.322488967,0.1830645,0.861188933,-0.036249823,0.4136875,0.1308067,0.039422717,0.347914033,0.36325025,0.17054105,0.06998104,0.305358267,0.3340521,0.129335967,0.01093576,0.324036,0.09169557,0.214314333,0.211451681,0.3033761,0.25605855,0.292909367,0.3905549,0.2115334,0.3516638,0.3133624,0.287994833,0.298376211,0.407075267,0.278122,0.308849733,0.2765101,0.339872267,0.277759967,0.1372809,0.3709312,0.278107833,0.333511025,0.152643467
2630.472,0.307712267,0.269102333,0.3619664,0.191142767,0.323674233,0.18362235,0.864348767,-0.035520023,0.414822867,0.13146845,0.040717977,0.349155833,0.36436385,0.171218,0.070048765,0.306744267,0.335369933,0.129651333,0.01159119,0.3255583,0.091634645,0.215280767,0.212106912,0.304619967,0.25738945,0.293602767,0.3917112,0.212458767,0.353369,0.31385185,0.289029,0.299099644,0.4084267,0.27856905,0.309664067,0.2770252,0.340541133,0.278768733,0.1378605,0.37250735,0.2790364,0.334169775,0.153308933
2632.4,0.308961922,0.2697655,0.363725125,0.191678833,0.3249334,0.184203875,0.8675786,-0.034730407,0.416006467,0.1321329,0.041973887,0.350551067,0.36556685,0.1718834,0.070282915,0.308066967,0.336679,0.129990433,0.012249207,0.327087633,0.091563115,0.2162803,0.212662383,0.305893833,0.25897855,0.294288333,0.3927958,0.2134027,0.35496765,0.3141749,0.2900708,0.3003576,0.409783533,0.27911525,0.3104929,0.2776501,0.341208833,0.279744933,0.1384574,0.3738529,0.279976333,0.33479025,0.153951133
2634.329,0.3098647,0.270461967,0.36551395,0.192226267,0.326201367,0.184893525,0.870905467,-0.033890717,0.417113033,0.132790125,0.043145453,0.3520687,0.3667189,0.1724633,0.070598635,0.3094318,0.3379493,0.130335233,0.012908092,0.328602233,0.09151607,0.2172635,0.213183323,0.307160933,0.2606933,0.2949521,0.39379115,0.2143131,0.3564726,0.31426215,0.2911307,0.301710789,0.411140033,0.2796253,0.3113474,0.278358867,0.341899833,0.280761067,0.139043333,0.37509605,0.2809465,0.335432875,0.1545665
2636.258,0.310358856,0.2712013,0.367294125,0.192765633,0.327390433,0.1856572,0.874230567,-0.03304788,0.418179033,0.1334444,0.044223047,0.353681867,0.3676085,0.17303545,0.07082684,0.310761433,0.339160267,0.130685,0.013590389,0.330092667,0.091481035,0.218214667,0.213675022,0.308416067,0.26229695,0.295619033,0.39480555,0.2152414,0.35786065,0.3142758,0.2922183,0.302571178,0.4125205,0.2800941,0.312306033,0.2790997,0.342658433,0.281826,0.139601233,0.3762148,0.281911467,0.336094675,0.155157833
2638.186,0.310689689,0.272047167,0.3690807,0.193319733,0.328552567,0.186441775,0.8776275,-0.03218937,0.4192208,0.1341053,0.045232507,0.3553743,0.36837855,0.17365065,0.07097385,0.312029433,0.340296067,0.131022233,0.0142838,0.331589833,0.09149762,0.219191233,0.214726346,0.309674667,0.2635467,0.296333233,0.3958428,0.2162288,0.35912285,0.3139612,0.2933313,0.303776422,0.4138979,0.28072815,0.313311,0.2797946,0.343459367,0.282940567,0.140172733,0.37723485,0.282826967,0.3368121,0.155655067
2640.115,0.311387689,0.273080067,0.3708951,0.193892067,0.329796567,0.1872344,0.8812405,-0.031302197,0.420237867,0.13477115,0.04609173,0.357066167,0.36919295,0.17433195,0.07114813,0.313038833,0.341377667,0.1313554,0.014969792,0.3330832,0.09157835,0.220162733,0.215458267,0.3109187,0.26452255,0.297152,0.39700325,0.217196733,0.36034155,0.31334185,0.294490333,0.304804456,0.415290633,0.2815066,0.314321467,0.280546433,0.3442789,0.2841066,0.1407399,0.37833755,0.283756433,0.3375153,0.156113433
2642.043,0.312952833,0.274250567,0.372770825,0.194453833,0.331129833,0.18806885,0.8849881,-0.03034013,0.421320467,0.13545705,0.046814103,0.358725833,0.37004285,0.1749927,0.071535715,0.3138022,0.342438733,0.1317082,0.015664224,0.334531167,0.09182628,0.2211251,0.216312711,0.312171833,0.26555735,0.2980537,0.3981445,0.2181302,0.3615613,0.31286955,0.295689533,0.305566278,0.416716833,0.2823054,0.315344567,0.281413467,0.345147233,0.285298867,0.141302433,0.3795123,0.284743133,0.33818675,0.156606267
2643.971,0.312929678,0.275551467,0.37467765,0.195016567,0.3324961,0.188881875,0.8886777,-0.029299613,0.422456067,0.1361507,0.04755221,0.360385367,0.3709773,0.17560915,0.072005185,0.314423433,0.3434607,0.132058533,0.016370159,0.3359812,0.09212491,0.222070033,0.217245717,0.313448233,0.26675175,0.299029067,0.3993719,0.219139367,0.36287845,0.3125393,0.296929367,0.306355522,0.4180936,0.28307285,0.316458167,0.282309333,0.346113633,0.2865734,0.141877767,0.38069735,0.2857752,0.3388214,0.157094433
2645.9,0.312449456,0.276977167,0.37661595,0.195590633,0.333868267,0.18967645,0.892305933,-0.028287353,0.423616933,0.136863225,0.048342183,0.362068033,0.3720105,0.17616585,0.072411685,0.3151956,0.344402433,0.132418,0.017086837,0.337445633,0.092297545,0.223013167,0.218118049,0.314738533,0.2680821,0.300121067,0.400647,0.2202067,0.36422185,0.31208605,0.298224533,0.3077245,0.419425567,0.28377375,0.3176782,0.2832353,0.3471192,0.287936833,0.142457933,0.3818547,0.2868888,0.339470525,0.1576045
2647.828,0.3137132,0.278436533,0.378553575,0.196160133,0.335248,0.190480625,0.895890933,-0.02725989,0.4247271,0.137590175,0.04914687,0.363701733,0.37309585,0.17662125,0.072709825,0.316050667,0.345306,0.132788467,0.017799758,0.338900667,0.092452,0.2239905,0.219099946,0.316016567,0.26944805,0.301316133,0.4019545,0.221265033,0.3656339,0.31162915,0.2995448,0.309382,0.420763567,0.2844465,0.318953967,0.284221967,0.348107233,0.289324833,0.1430461,0.3829406,0.2880151,0.340103225,0.158251967
2649.757,0.314938911,0.279899533,0.3805171,0.196747267,0.336652667,0.191293175,0.899486067,-0.026203853,0.425806,0.13836935,0.049959153,0.365276467,0.3744065,0.17704745,0.072994385,0.316750867,0.346254567,0.133150667,0.018499913,0.3403341,0.092700935,0.2249803,0.21967174,0.317290433,0.2706367,0.302593767,0.40334415,0.222261533,0.3669687,0.31152045,0.3008921,0.310513478,0.422217167,0.28514235,0.320227767,0.285280767,0.349098033,0.290682233,0.143638233,0.3839496,0.289218033,0.34075105,0.158912033
2651.686,0.315722544,0.2812637,0.38251505,0.197329167,0.3380951,0.19212355,0.903060133,-0.025134027,0.426947833,0.1391941,0.050816813,0.366809933,0.37591215,0.17752495,0.073306205,0.317349867,0.3472338,0.1334953,0.019186402,0.341767967,0.092812225,0.2259761,0.220243157,0.3185976,0.27169275,0.3039147,0.4048545,0.223286533,0.3681869,0.3115791,0.3022708,0.311862844,0.423743333,0.28588105,0.321514567,0.2863776,0.350088233,0.292051867,0.144248667,0.38477775,0.290529333,0.34138905,0.159544733
2653.614,0.316856233,0.282694367,0.384527525,0.1978868,0.3395794,0.192941775,0.906550533,-0.02398546,0.4281623,0.14002685,0.05175152,0.3683149,0.3774991,0.1779455,0.07358264,0.317743933,0.3482641,0.133838067,0.019850303,0.3432569,0.09274523,0.2270041,0.221368762,0.319952067,0.27269405,0.3052871,0.4062647,0.2243124,0.3695651,0.31130975,0.303685067,0.313170422,0.425287467,0.28657055,0.322795433,0.287453733,0.351095067,0.293464133,0.144894233,0.38544725,0.2918531,0.3420082,0.160272967
2655.542,0.317854456,0.284216267,0.3865357,0.1984256,0.3410781,0.193787825,0.9100821,-0.022780753,0.429443467,0.140844425,0.052652413,0.3697991,0.3791899,0.1782868,0.07367207,0.317807833,0.3493769,0.134197133,0.02051836,0.3447577,0.09268604,0.228067667,0.222250608,0.321351233,0.2735867,0.3066971,0.40741445,0.225356367,0.3710852,0.31077335,0.3051162,0.314549089,0.426867067,0.287219,0.3240556,0.288579467,0.3521054,0.294887467,0.145576033,0.3861052,0.293133133,0.3425796,0.161070567
2657.471,0.318052656,0.285584233,0.3885797,0.198973167,0.342583767,0.194689,0.913718067,-0.021566693,0.430800633,0.14165985,0.053530123,0.371333467,0.3809206,0.1786986,0.07371919,0.3177617,0.350554733,0.1345462,0.021197745,0.346310633,0.09269477,0.2291508,0.223158501,0.322822667,0.27454425,0.308156067,0.40838715,0.226436967,0.3727466,0.31028005,0.306553433,0.316314611,0.428427833,0.28798175,0.325272833,0.289747267,0.3531045,0.296292133,0.146250733,0.3867612,0.294446733,0.343149275,0.161856933
